X,Y,Y2
COCO_train2014_000000000009.jpg,COCO_train2014_000000000009.png,COCO_train2014_000000000009.mat
COCO_train2014_000000000089.jpg,COCO_train2014_000000000089.png,COCO_train2014_000000000089.mat
COCO_train2014_000000000110.jpg,COCO_train2014_000000000110.png,COCO_train2014_000000000110.mat
COCO_train2014_000000000307.jpg,COCO_train2014_000000000307.png,COCO_train2014_000000000307.mat
COCO_train2014_000000000321.jpg,COCO_train2014_000000000321.png,COCO_train2014_000000000321.mat
COCO_train2014_000000000332.jpg,COCO_train2014_000000000332.png,COCO_train2014_000000000332.mat
COCO_train2014_000000000349.jpg,COCO_train2014_000000000349.png,COCO_train2014_000000000349.mat
COCO_train2014_000000000382.jpg,COCO_train2014_000000000382.png,COCO_train2014_000000000382.mat
COCO_train2014_000000000389.jpg,COCO_train2014_000000000389.png,COCO_train2014_000000000389.mat
COCO_train2014_000000000419.jpg,COCO_train2014_000000000419.png,COCO_train2014_000000000419.mat
COCO_train2014_000000000443.jpg,COCO_train2014_000000000443.png,COCO_train2014_000000000443.mat
COCO_train2014_000000000450.jpg,COCO_train2014_000000000450.png,COCO_train2014_000000000450.mat
COCO_train2014_000000000508.jpg,COCO_train2014_000000000508.png,COCO_train2014_000000000508.mat
COCO_train2014_000000000510.jpg,COCO_train2014_000000000510.png,COCO_train2014_000000000510.mat
COCO_train2014_000000000531.jpg,COCO_train2014_000000000531.png,COCO_train2014_000000000531.mat
COCO_train2014_000000000532.jpg,COCO_train2014_000000000532.png,COCO_train2014_000000000532.mat
COCO_train2014_000000000605.jpg,COCO_train2014_000000000605.png,COCO_train2014_000000000605.mat
COCO_train2014_000000000716.jpg,COCO_train2014_000000000716.png,COCO_train2014_000000000716.mat
COCO_train2014_000000000731.jpg,COCO_train2014_000000000731.png,COCO_train2014_000000000731.mat
COCO_train2014_000000000853.jpg,COCO_train2014_000000000853.png,COCO_train2014_000000000853.mat
COCO_train2014_000000000965.jpg,COCO_train2014_000000000965.png,COCO_train2014_000000000965.mat
COCO_train2014_000000001011.jpg,COCO_train2014_000000001011.png,COCO_train2014_000000001011.mat
COCO_train2014_000000001014.jpg,COCO_train2014_000000001014.png,COCO_train2014_000000001014.mat
COCO_train2014_000000001144.jpg,COCO_train2014_000000001144.png,COCO_train2014_000000001144.mat
COCO_train2014_000000001145.jpg,COCO_train2014_000000001145.png,COCO_train2014_000000001145.mat
COCO_train2014_000000001261.jpg,COCO_train2014_000000001261.png,COCO_train2014_000000001261.mat
COCO_train2014_000000001264.jpg,COCO_train2014_000000001264.png,COCO_train2014_000000001264.mat
COCO_train2014_000000001355.jpg,COCO_train2014_000000001355.png,COCO_train2014_000000001355.mat
COCO_train2014_000000001386.jpg,COCO_train2014_000000001386.png,COCO_train2014_000000001386.mat
COCO_train2014_000000001403.jpg,COCO_train2014_000000001403.png,COCO_train2014_000000001403.mat
COCO_train2014_000000001424.jpg,COCO_train2014_000000001424.png,COCO_train2014_000000001424.mat
COCO_train2014_000000001510.jpg,COCO_train2014_000000001510.png,COCO_train2014_000000001510.mat
COCO_train2014_000000001518.jpg,COCO_train2014_000000001518.png,COCO_train2014_000000001518.mat
COCO_train2014_000000001523.jpg,COCO_train2014_000000001523.png,COCO_train2014_000000001523.mat
COCO_train2014_000000001536.jpg,COCO_train2014_000000001536.png,COCO_train2014_000000001536.mat
COCO_train2014_000000001558.jpg,COCO_train2014_000000001558.png,COCO_train2014_000000001558.mat
COCO_train2014_000000001670.jpg,COCO_train2014_000000001670.png,COCO_train2014_000000001670.mat
COCO_train2014_000000001756.jpg,COCO_train2014_000000001756.png,COCO_train2014_000000001756.mat
COCO_train2014_000000001785.jpg,COCO_train2014_000000001785.png,COCO_train2014_000000001785.mat
